time;nr;/Section D-D/Circle 1/D;/Section D-D/Circle 9/D;/Section D-D/Circle 10/D;/Section E-E/Circle 1/D;/Section E-E/Circle 9/D;/Section E-E/Circle 10/D;/Cylinder (5)/D;team;comment
2023-03-14T16:53:19.9817422Z;1;-0.034372627993371374;-0.017190637825021504;0.01629318953689296;-0.05927819223947939;0.044506063834824694;0.0032559470245239197;0.1287012632495177;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:53:55.7933961Z;1;-0.02126528422366114;0.09234414182924766;0.019387321411402425;-0.06233440054615169;0.04876150935440737;0.002258524730119227;0.1277204626992834;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:54:31.6904869Z;1;-0.0857998139418168;-0.32278380051099553;0.03820955550284655;-0.059648257747733524;0.04602705510939131;0.007034566456659341;0.12979602646544208;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:55:07.547464Z;1;-0.10834698458563263;0.13838110827282257;0.038079749720943745;-0.05647568621169885;0.04995642977225945;0.008830869344872205;0.13399294081266788;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:55:43.4128639Z;1;-0.0997965731225623;0.132300051521133;0.03330362387854002;-0.061102301108097556;0.04937025474039114;0.008453543069087743;0.13073984714333875;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:56:19.2677935Z;1;-0.06907924992472037;0.03315444237323728;0.02959605679182431;-0.06285966630960704;0.0457951209530334;0.008240663697582917;0.12810723297707582;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:56:55.1714687Z;1;-0.040838734390255205;0.08919928227032692;0.041037349093485;-0.060508411909755644;0.04848065388108136;0.009509539064054273;0.1308302170749016;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:57:31.0502353Z;1;-0.08361541235098446;0.11340875066942857;0.029494438468621986;-0.0574127001183502;0.04837434466069723;0.008486058809238806;0.1322779010530475;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:58:06.9106648Z;1;-0.20444223930243233;-0.17165955897067509;-0.0012922974158344758;-0.05748198671493121;0.03212346183378223;0.008790777887987211;0.13157357874464992;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:58:42.7633066Z;1;-0.05887945850555987;-0.048899928194301445;0.030737393146458736;-0.05533904242889509;0.045570802821595535;0.012760948354929802;0.13603139290120936;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:59:18.6347707Z;1;-0.09760556506097728;-0.30463155494733396;0.03397542262081554;-0.06087276526743324;0.045938016692105954;0.01188206990558971;0.13215238260849205;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T16:59:54.4804662Z;1;-0.06512373721740694;0.08491963868207453;0.03918336383547594;-0.06287380543192267;0.047585973766955725;0.011769559697232701;0.13637642927135118;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:00:30.3446411Z;1;-0.06041296756565373;-0.3738540405748578;0.04178979094438162;-0.06509029287792689;0.04695209726121963;0.009338711126190447;0.13306537104418936;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:01:06.2413348Z;1;-0.09233069133592497;0.07323059045460933;0.03387300420241335;-0.05865288967778248;0.042001485137602934;0.011726968144222027;0.13477586295570276;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:01:42.1091044Z;1;-0.0615456746635088;0.06288459607219465;0.033375677721283026;-0.05547044957998182;0.045906056247702054;0.012172091829160792;0.13619041070856852;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:02:17.9639758Z;1;-0.036027961908501105;-0.11126277371406434;0.03920458143263694;-0.0573208802033367;0.05146327114097193;0.010949364284432939;0.1396095857960269;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:02:53.8339269Z;1;-0.04223768712297993;0.029710656734661;0.03009724852470619;-0.06278037656678226;0.046274031530843196;0.010373683699736347;0.1357900446506548;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:03:29.6706861Z;1;-0.09276160584295923;0.13785546936632986;0.03026038384588503;-0.061029100682007176;0.04713021444900978;0.011474051354990245;0.13716966697226596;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:04:05.5113298Z;1;-0.11592574077223272;0.03571611219941051;0.0352107855270134;-0.06774382039600546;0.05012804785724878;0.009463478689297311;0.13582047972190026;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:04:41.3615233Z;1;-0.11641281789315983;0.05388471414265794;0.07054384768534039;-0.05020708773409943;0.04287283281463328;0.01001156834274397;0.13666251797500806;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
2023-03-14T17:05:17.2693334Z;1;-0.08693510735566257;0.12761698971874935;0.040283087959824826;-0.06437553677339736;0.048536084339846575;0.008594843715507672;0.13603042345782157;2.0;Probe 1 Abkühlversuch von T = 90 (neue Zahn-Winkellage)
